Year,Month,Country,N_visitors
2011,11,Brazil,481284
2011,11,Peru,210450
2011,12,Brazil,560992
2011,12,Peru,227888
2012,1,Brazil,749555
2012,1,Peru,246858
2012,2,Brazil,569706
2012,2,Peru,241127
2012,3,Brazil,584163
2012,3,Peru,228614
2012,4,Brazil,422254
2012,4,Peru,215975
2012,5,Brazil,345194
2012,5,Peru,215592
2012,6,Brazil,342201
2012,6,Peru,225036
2012,7,Brazil,410667
2012,7,Peru,268788
2012,8,Brazil,397683
2012,8,Peru,242986
2012,9,Brazil,378394
2012,9,Peru,234605
2012,10,Brazil,425085
2012,10,Peru,244308
2012,11,Brazil,467584
2012,11,Peru,238813
2012,12,Brazil,584357
2012,12,Peru,242921
2013,1,Brazil,758573
2013,1,Peru,255983
2013,2,Brazil,548577
2013,2,Peru,263144
2013,3,Brazil,650651
2013,3,Peru,253180
2013,4,Brazil,407970
2013,4,Peru,236237
2013,5,Brazil,348137
2013,5,Peru,256187
2013,6,Brazil,350025
2013,6,Peru,258511
2013,7,Brazil,534130
2013,7,Peru,302309
2013,8,Brazil,407349
2013,8,Peru,276730
2013,9,Brazil,286228
2013,9,Peru,249413
2013,10,Brazil,455918
2013,10,Peru,282219
2013,11,Brazil,479527
2013,11,Peru,258735
2013,12,Brazil,586257
2013,12,Peru,270991
2014,1,Brazil,580616
2014,1,Peru,266299
2014,2,Brazil,535096
2014,2,Peru,268118
2014,3,Brazil,329779
2014,3,Peru,266479
2014,4,Brazil,389943
2014,4,Peru,241635
2014,5,Brazil,349819
2014,5,Peru,264283
2014,6,Brazil,1018876
2014,6,Peru,245733
2014,7,Brazil,717769
2014,7,Peru,299154
2014,8,Brazil,401094
2014,8,Peru,291276
2014,9,Brazil,373555
2014,9,Peru,254394
2014,10,Brazil,414408
2014,10,Peru,274695
2014,11,Brazil,467114
2014,11,Peru,257567
2014,12,Brazil,851783
2014,12,Peru,285301
2015,1,Brazil,915056
2015,1,Peru,298225
2015,2,Brazil,719513
2015,2,Peru,295126
2015,3,Brazil,619939
2015,3,Peru,274152
2015,4,Brazil,414084
2015,4,Peru,262713
2015,5,Brazil,372818
2015,5,Peru,268354
2015,6,Brazil,350156
2015,6,Peru,275926
2015,7,Brazil,454624
2015,7,Peru,332645
2015,8,Brazil,366300
2015,8,Peru,305699
2015,9,Brazil,243336
2015,9,Peru,270498
2015,10,Brazil,491491
2015,10,Peru,301735
2015,11,Brazil,573959
2015,11,Peru,272924
2015,12,Brazil,784562
2015,12,Peru,297712
2016,1,Brazil,1084359
2016,1,Peru,304712
2016,2,Brazil,808533
2016,2,Peru,324365
2016,3,Brazil,625098
2016,3,Peru,300342
2016,4,Brazil,398071
2016,4,Peru,276086
2016,5,Brazil,345264
2016,5,Peru,296146
2016,6,Brazil,355441
2016,6,Peru,276779
2016,7,Brazil,472342
2016,7,Peru,365320
2016,8,Brazil,537727
2016,8,Peru,339081
2016,9,Brazil,418981
2016,9,Peru,303223
2016,10,Brazil,439357
2016,10,Peru,324565
2016,11,Brazil,451920
2016,11,Peru,299785
2016,12,Brazil,609603
2016,12,Peru,334057
2017,1,Brazil,1107628
2017,1,Peru,327642
2017,2,Brazil,863252
2017,2,Peru,325001
2017,3,Brazil,563667
2017,3,Peru,295655
2017,4,Brazil,462810
2017,4,Peru,312587
2017,5,Brazil,349843
2017,5,Peru,301189
2017,6,Brazil,319853
2017,6,Peru,318588
2017,7,Brazil,477118
2017,7,Peru,388939
2017,8,Brazil,410100
2017,8,Peru,361264
2017,9,Brazil,419239
2017,9,Peru,340535
2017,10,Brazil,440087
2017,10,Peru,352679
2017,11,Brazil,494460
2017,11,Peru,331844
2017,12,Brazil,680713
2017,12,Peru,376416
2018,1,Brazil,1067389
2018,1,Peru,366507
2018,2,Brazil,868482
2018,2,Peru,347444
2018,3,Brazil,728742
2018,3,Peru,366473
2018,4,Brazil,435415
2018,4,Peru,344011
2018,5,Brazil,341310
2018,5,Peru,356655
2018,6,Brazil,302154
2018,6,Peru,355591
2018,7,Brazil,448317
2018,7,Peru,408784
2018,8,Brazil,429661
2018,8,Peru,393062
2018,9,Brazil,425847
2018,9,Peru,359743
2018,10,Brazil,433955
2018,10,Peru,377384
2018,11,Brazil,478421
